,Enzyme Common Name,,EnzymeId
2146,peptidase activity,primary,
2147,ORF,primary,
2148,DNA binding,primary,
2149,ORF,primary,
2150,ORF,primary,
2151,aryl sulfotransferase activity,primary,1345
2152,transcription factor activity,primary,
2153,ORF,primary,
2154,ORF,primary,
2155,ORF,primary,
2156,DNA binding//transcription factor activity,primary,
2157,ORF,primary,
2158,C-4 methylsterol oxidase activity,primary,19
2159,prephenate dehydratase activity,primary,1209
2160,protein-arginine omega-N asymmetric methyltransferase activity,primary,260
2161,catalytic activity,primary,
2162,ORF,primary,
2163,protein binding//rhodopsin-like receptor activity//zinc ion binding//serine-type endopeptidase activity,primary,
2164,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides//ATP binding//GTP binding//transcription factor binding",primary,
2165,transporter activity,primary,
2166,ORF,primary,
2167,phosphoglycerate mutase activity,primary,1159
2168,ORF,primary,
2169,binding//soluble NSF attachment protein activity,primary,
2170,protein binding,primary,
2171,ion channel inhibitor activity,primary,
2172,ORF,primary,
2173,electron carrier activity,primary,
2174,protein binding//zinc ion binding,primary,
2175,ORF,primary,
2176,protein binding//zinc ion binding,primary,
2177,leucine-tRNA ligase activity,primary,1421
2178,ORF,primary,
2179,protein serine/threonine kinase activity,primary,1451
2180,aspartate transaminase activity,primary,242
2181,"ATPase activity, coupled",primary,641
2182,ORF,primary,
2183,ORF,primary,
2184,ORF,primary,
2185,ORF,primary,
2186,zinc ion binding//nucleic acid binding,primary,
2187,ORF,primary,
2188,ORF,primary,
2189,ORF,primary,
2190,DNA binding,primary,
2191,ORF,primary,
2192,ORF,primary,
2193,ORF,primary,
2194,RAL GDP-dissociation stimulator activity//Ral guanyl-nucleotide exchange factor activity,primary,
2195,kinesin binding,primary,
2196,ORF,primary,
2197,chitin binding,primary,
2198,chitinase activity,primary,1336
2199,protein phosphatase type 1 regulator activity,primary,
2200,ORF,primary,
2201,DNA binding,primary,
2202,organic anion transmembrane transporter activity,primary,
2203,ORF,primary,
2204,ORF,primary,
2205,peptidylglycine monooxygenase activity,primary,1109
2206,4-hydroxybenzoate octaprenyltransferase activity,primary,
2207,ubiquitin thiolesterase activity,primary,1532
2208,ORF,primary,
2209,serine-type endopeptidase activity,primary,
2210,GTPase activity,primary,1171
2211,Probable acetyltransferase san//fatty acid binding,primary,
2212,"oxidoreductase activity, acting on CH-OH group of donors//binding",primary,
2213,binding//transmembrane transporter activity,primary,
2214,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,
2215,protein binding//zinc ion binding,primary,
2216,calcium ion binding,primary,
2217,ORF,primary,
2218,ORF,primary,
2219,GTPase activity,primary,1171
2220,RNA-directed DNA polymerase activity,primary,1381
2221,nucleic acid binding,primary,
2222,serine-type endopeptidase activity,primary,
2223,structural constituent of ribosome,primary,
2224,nuclear localization sequence binding,primary,
2225,ORF,primary,
2226,protein serine/threonine phosphatase activity//protein phosphatase type 2A regulator activity,primary,
2227,pyruvate kinase activity,primary,684
2228,DNA binding//zinc ion binding,primary,
2229,ORF,primary,
2230,ORF,primary,
2231,calcium channel activity,primary,
2232,ORF,primary,
2233,ORF,primary,
2234,ORF,primary,
2235,ORF,primary,
2236,protein serine/threonine kinase activity,primary,1451
2237,protein tyrosine phosphatase activity,primary,1490
2238,"ATPase activity, coupled",primary,641
2239,ORF,primary,
2240,"hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances//ATP binding//ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism",primary,
2241,ORF,primary,
2242,RNA polymerase II transcription factor activity,primary,
2243,ORF,primary,
2244,ORF,primary,
2245,transcription activator activity,primary,
2246,"rRNA (adenine-N6,N6-)-dimethyltransferase activity",primary,1406
2247,ORF,primary,
2248,ORF,primary,
2249,nucleotide binding//exonuclease activity//mRNA binding,primary,
2250,transcription regulator activity//DNA binding//transcription factor activity,primary,
2251,ORF,primary,
2252,arginase activity,primary,685
2253,amino acid transmembrane transporter activity,primary,
2254,ORF,primary,
2255,ORF,primary,
2256,ORF,primary,
2257,DNA binding,primary,
2258,inositol trisphosphate 6-kinase activity,primary,597
2259,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor//cofactor binding//Mo-molybdopterin cofactor sulfurase activity",primary,
2260,structural constituent of pupal chitin-based cuticle//structural constituent of chitin-based cuticle,primary,
2261,"ATPase activity, coupled to transmembrane movement of substances",primary,641
2262,general RNA polymerase II transcription factor activity,primary,
2263,water channel activity,primary,
2264,olfactory receptor activity//odorant binding,primary,
2265,ORF,primary,
2266,ORF,primary,
2267,elastase activity,primary,1328
2268,pyruvate carboxylase activity,primary,828
2269,ORF,primary,
2270,transcription regulator activity//sequence-specific DNA binding//transcription factor activity,primary,
2271,receptor activity//cell adhesion molecule binding//signal transducer activity//calcium ion binding,primary,
2272,DNA binding//NAD-dependent histone deacetylase activity//NAD binding//zinc ion binding,primary,
2273,Ras GTPase activator activity,primary,
2274,ORF,primary,
2275,structural constituent of cell wall,primary,
2276,ORF,primary,
2277,ORF,primary,
2278,damaged DNA binding//5'-3' exodeoxyribonuclease activity//double-stranded DNA specific 3'-5' exodeoxyribonuclease activity//flap endonuclease activity//endodeoxyribonuclease activity//single-stranded DNA specific endodeoxyribonuclease activity//single-stranded DNA specific 3'-5' exodeoxyribonuclease activity//endonuclease activity,primary,
2279,zinc ion binding//nucleic acid binding,primary,
2280,"ATPase activity, coupled",primary,641
2281,ORF,primary,
2282,epoxide hydrolase activity,primary,1163
2283,lipase activity,primary,
2284,ORF,primary,
2285,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338
2286,protein binding//zinc ion binding,primary,
2287,ORF,primary,
2288,triacylglycerol lipase activity,primary,309
2289,structural constituent of ribosome,primary,
2290,actin binding,primary,
2291,zinc ion binding,primary,
2292,signal peptidase activity,primary,1232
2293,ORF,primary,
2294,sulfinoalanine decarboxylase activity,primary,807
2295,ORF,primary,
2296,sequence-specific DNA binding//transcription factor activity,primary,
2297,ORF,primary,
2298,serine-type peptidase activity//serine-type endopeptidase activity,primary,
2299,ORF,primary,
2300,cyclin-dependent protein kinase activity,primary,1488
2301,structural molecule activity,primary,
2302,glucuronosyltransferase activity,primary,527
2303,structural constituent of ribosome,primary,
2304,ORF,primary,
2305,uroporphyrinogen-III synthase activity,primary,654
2306,ORF,primary,
2307,protein serine/threonine kinase activity,primary,1451
2308,unfolded protein binding,primary,
2309,growth factor activity//signal transducer activity//transforming growth factor beta receptor binding,primary,
2310,protein binding,primary,
2311,ORF,primary,
2312,receptor activity//axon guidance receptor activity,primary,
2313,ATPase activity,primary,641
2314,sodium channel activity,primary,
2315,receptor binding,primary,
2316,ORF,primary,
2317,ATP binding//transcription factor activity,primary,
2318,ORF,primary,
2319,ATP-dependent RNA helicase activity,primary,641
2320,ORF,primary,
2321,ORF,primary,
2322,ORF,primary,
2323,carboxylesterase activity,primary,1121
2324,ORF,primary,
2325,substrate-specific transmembrane transporter activity,primary,28
2326,ORF,primary,
2327,ORF,primary,
2328,protein serine/threonine kinase activity,primary,1451
2329,zinc ion binding,primary,
2330,ORF,primary,
2331,sterol O-acyltransferase activity,primary,105
2332,ORF,primary,
2333,ORF,primary,
2334,cytokine binding//transmembrane receptor activity//protein binding,primary,
2335,ORF,primary,
2336,ORF,primary,
2337,ORF,primary,
2338,serine-type endopeptidase inhibitor activity,primary,
2339,ORF,primary,
2340,sugar binding,primary,
2341,trypsin activity,primary,823
2342,transcription cofactor activity//protein heterodimerization activity//transcription corepressor activity//signal transducer activity,primary,
2343,ORF,primary,
2344,ORF,primary,
2345,ubiquitin-protein ligase activity,primary,1480
2346,receptor binding,primary,
2347,ORF,primary,
2348,"ATPase activity, coupled to transmembrane movement of substances",primary,641
2349,ORF,primary,
2350,ORF,primary,
2351,ORF,primary,
2352,ORF,primary,
2353,aldehyde oxidase activity,primary,114
2354,ORF,primary,
2355,DNA binding,primary,
2356,methyltransferase activity//nucleic acid binding,primary,
2357,ORF,primary,
2358,ORF,primary,
2359,unfolded protein binding//calcium ion binding,primary,
2360,ORF,primary,
2361,structural constituent of ribosome//transcription regulator activity//mRNA binding//rRNA binding,primary,
2362,ORF,primary,
2363,alkaline phosphatase activity,primary,675
2364,translation initiation factor activity//transcription factor binding//zinc ion binding//general RNA polymerase II transcription factor activity,primary,
2365,protein binding,primary,
2366,ORF,primary,
2367,"transferase activity, transferring groups other than amino-acyl groups",primary,
2368,structural constituent of ribosome,primary,
2369,ORF,primary,
2370,transcription regulator activity//protein binding//chromatin binding//zinc ion binding,primary,
2371,ORF,primary,
2372,lysozyme activity,primary,249
2373,structural constituent of ribosome,primary,
2374,ORF,primary,
2375,ORF,primary,
2376,protein binding//zinc ion binding,primary,
2377,ORF,primary,
2378,structural constituent of ribosome,primary,
2379,N-acetyltransferase activity,primary,
2380,olfactory receptor activity//odorant binding,primary,
2381,serine-type peptidase activity//calcium ion binding//serine-type endopeptidase activity,primary,
2382,ORF,primary,
2383,NADH dehydrogenase activity,primary,1214
2384,methylenetetrahydrofolate dehydrogenase (NADP+) activity,primary,430
2385,carboxypeptidase A activity,primary,1442
2386,ORF,primary,
2387,DNA binding,primary,
2388,ORF,primary,
2389,monosaccharide transmembrane transporter activity,primary,
2390,structural constituent of chitin-based cuticle,primary,
2391,two-component sensor activity//DNA binding//specific RNA polymerase II transcription factor activity//protein heterodimerization activity//RNA polymerase II transcription factor activity//transcription factor activity,primary,
2392,glutamine-fructose-6-phosphate transaminase (isomerizing) activity,primary,1056
2393,ORF,primary,
2394,DNA binding,primary,
2395,ORF,primary,
2396,protein binding//GTP binding,primary,
2397,peptidyl-dipeptidase A activity,primary,1295
2398,electron carrier activity//protein disulfide oxidoreductase activity,primary,
2399,protein binding//receptor signaling complex scaffold activity//zinc ion binding,primary,
2400,nucleoside-triphosphatase activity,primary,669
2401,pyruvate kinase activity,primary,684
2402,ORF,primary,
2403,lipoprotein lipase activity,primary,679
2404,sepiapterin reductase activity,primary,954
2405,exoribonuclease II activity,primary,281
2406,ATP binding//mismatched DNA binding,primary,
2407,chitin binding//structural constituent of peritrophic membrane,primary,
2408,tetrahydrofolylpolyglutamate synthase activity,primary,10
2409,sodium:iodide symporter activity,primary,
2410,"heme binding//iron ion binding//electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity",primary,
2411,protein binding//zinc ion binding,primary,
2412,"hydrogen-exporting ATPase activity, phosphorylative mechanism",primary,1338
2413,ORF,primary,
2414,ORF,primary,
2415,ORF,primary,
2416,histone lysine N-methyltransferase activity (H3-K9 specific)//histone lysine N-methyltransferase activity (H3-K27 specific),primary,
2417,ORF,primary,
2418,ORF,primary,
2419,inositol-polyphosphate 5-phosphatase activity,primary,276
2420,binding,primary,
2421,calcium-dependent phospholipid binding//calcium ion binding,primary,
2422,carbonate dehydratase activity,primary,168
2423,ORF,primary,
2424,cyclic nucleotide binding//cAMP-dependent protein kinase regulator activity,primary,
2425,ORF,primary,
2426,protein transmembrane transporter activity,primary,
2427,voltage-gated anion channel activity,primary,
2428,metallopeptidase activity//zinc ion binding,primary,
2429,ATP binding//mismatched DNA binding,primary,
2430,ORF,primary,
2431,ORF,primary,
2432,sequence-specific DNA binding//DNA binding//bent DNA binding,primary,
2433,ORF,primary,
2434,ORF,primary,
2435,zinc ion binding,primary,
2436,single-stranded RNA binding//single-stranded DNA binding//DNA secondary structure binding//protein binding,primary,
2437,nucleotide binding//mRNA binding//nucleic acid binding,primary,
2438,ORF,primary,
2439,zinc ion binding,primary,
2440,ORF,primary,
2441,oxidoreductase activity,primary,
2442,leucyl aminopeptidase activity,primary,1511
